"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","B.YEAR"
"130","5","42","FEMALE","WHITE","15",1974,NA
"131","1","22","MALE","BLACK","11",1974,NA
"132","5","45","MALE","BLACK","13",1974,NA
"133","4","78","FEMALE","BLACK","8",1974,NA
"134","6","66","FEMALE","BLACK","16",1974,NA
"135","6","30","FEMALE","BLACK","13",1974,NA
"136","3","31","MALE","WHITE","10",1974,NA
"137","6","38","MALE","WHITE","12",1974,NA
"138","8","57","FEMALE","WHITE","10",1974,NA
"139","5","27","FEMALE","WHITE","12",1974,NA
"140","5","31","FEMALE","WHITE","7",1974,NA
"141","3","23","MALE","WHITE","8",1974,NA
"142","6","64","MALE","WHITE","9",1974,NA
"143","5","21","FEMALE","WHITE","12",1974,NA
"144","7","20","FEMALE","WHITE","12",1974,NA
"145","4","22","FEMALE","WHITE","12",1974,NA
"146","9","31","MALE","WHITE","16",1974,NA
"147","9","54","MALE","WHITE","19",1974,NA
"148","9","38","MALE","WHITE","18",1974,NA
"149","8","66","FEMALE","WHITE","13",1974,NA
"150","10","43","FEMALE","WHITE","15",1974,NA
"151","6","22","MALE","WHITE","11",1974,NA
"152","7","33","MALE","WHITE","13",1974,NA
"153","10","50","MALE","WHITE","20",1974,NA
"154","5","42","FEMALE","WHITE","12",1974,NA
"155","8","39","FEMALE","WHITE","13",1974,NA
"156","7","26","MALE","WHITE","16",1974,NA
"157","9","60","MALE","WHITE","12",1974,NA
"158","9","51","MALE","WHITE","14",1974,NA
"159","10","28","FEMALE","WHITE","16",1974,NA
"160","10","60","FEMALE","WHITE","10",1974,NA
"161","6","31","MALE","WHITE","13",1974,NA
"162","6","44","MALE","WHITE","8",1974,NA
"163","7","32","FEMALE","WHITE","13",1974,NA
"164","6","45","FEMALE","WHITE","12",1974,NA
"165","8","31","FEMALE","WHITE","14",1974,NA
"166","5","21","MALE","WHITE","12",1974,NA
"167","6","67","MALE","WHITE","7",1974,NA
"168","9","76","FEMALE","WHITE","9",1974,NA
"169","9","53","FEMALE","WHITE","11",1974,NA
"170","7","53","FEMALE","WHITE","12",1974,NA
"171","5","32","MALE","WHITE","13",1974,NA
"172","8","49","MALE","WHITE","12",1974,NA
"173","7","48","FEMALE","WHITE","12",1974,NA
"174","5","19","FEMALE","WHITE","11",1974,NA
"175","7","43","FEMALE","WHITE","20",1974,NA
"176","7","48","MALE","WHITE","20",1974,NA
"177","8","42","MALE","WHITE","16",1974,NA
"178","8","38","FEMALE","WHITE","15",1974,NA
"179","5","42","FEMALE","WHITE","13",1974,NA
"180","8","39","FEMALE","WHITE","12",1974,NA
"181","4","24","MALE","WHITE","14",1974,NA
"182","4","45","MALE","WHITE","14",1974,NA
"183","7","55","FEMALE","WHITE","10",1974,NA
"184","5","48","FEMALE","WHITE","10",1974,NA
"185","6","22","FEMALE","WHITE","12",1974,NA
