"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"3157","10","59","MALE","WHITE","16",1978
"3158","9","54","FEMALE","WHITE","15",1978
"3159","7","60","FEMALE","WHITE","12",1978
"3160","4","25","MALE","BLACK","12",1978
"3161","5","20","FEMALE","BLACK","12",1978
"3162",NA,"23","FEMALE","BLACK","10",1978
"3163","9","37","FEMALE","BLACK","15",1978
"3164","10","72","MALE","WHITE","12",1978
"3165","9","48","FEMALE","WHITE","16",1978
"3166","5","21","MALE","BLACK","12",1978
"3167","5","21","FEMALE","BLACK","13",1978
"3168","4","58","FEMALE","BLACK","8",1978
"3169","5","87","FEMALE","WHITE","8",1978
"3170","6","32","MALE","WHITE","12",1978
"3171","6","76","FEMALE","WHITE","8",1978
"3172","2","21","FEMALE","WHITE","10",1978
"3173","5","43","MALE","WHITE","9",1978
"3174","5","19","FEMALE","WHITE","11",1978
"3175","6","35","FEMALE","WHITE","11",1978
"3176",NA,"21","MALE","WHITE","9",1978
"3177","8","66","MALE","WHITE","16",1978
"3178","8","54","FEMALE","WHITE","12",1978
"3179","10","38","FEMALE","WHITE","17",1978
"3180","6","20","FEMALE","WHITE","13",1978
"3181","6","44","FEMALE","WHITE","12",1978
"3182","5","20","MALE","WHITE","11",1978
"3183","2","60","MALE","WHITE","8",1978
"3184","6","23","MALE","WHITE","12",1978
"3185","3","75","FEMALE","WHITE","8",1978
"3186","3","30","MALE","WHITE","14",1978
"3187","6","35","FEMALE","WHITE","6",1978
"3188","6","75","FEMALE","WHITE","11",1978
"3189","4","54","FEMALE","WHITE","12",1978
"3190","6","31","MALE","WHITE","10",1978
"3191","6","54","FEMALE","WHITE","6",1978
"3192","7","30","FEMALE","WHITE","12",1978
"3193","8","43","MALE","WHITE","17",1978
"3194","6","26","FEMALE","WHITE","15",1978
"3195","7","44","FEMALE","WHITE","12",1978
"3196","6","23","FEMALE","WHITE","12",1978
"3197","9","35","MALE","WHITE","17",1978
"3198","7","37","MALE","WHITE","12",1978
"3199","9","30","MALE","WHITE","17",1978
"3200","8","30","MALE","WHITE","13",1978
"3201","6","57","FEMALE","WHITE","10",1978
"3202","9","54","FEMALE","WHITE","16",1978
"3203","1","59","FEMALE","WHITE","8",1978
"3204","5","56","FEMALE","WHITE","13",1978
"3205","7","28","MALE","WHITE","16",1978
"3206","6","43","FEMALE","WHITE","10",1978
"3207","3","42","MALE","WHITE","12",1978
"3208","5","22","MALE","WHITE","12",1978
"3209","7","40","MALE","WHITE","9",1978
"3210","3","66","MALE","WHITE","14",1978
"3211","7","29","FEMALE","WHITE","12",1978
"3212","4","44","FEMALE","WHITE","13",1978
"3213","5","24","FEMALE","BLACK","16",1978
"3214","3","45","FEMALE","BLACK","9",1978
"3215","5","46","FEMALE","BLACK","14",1978
"3216","1","24","MALE","BLACK","9",1978
"3217","4","29","FEMALE","BLACK","9",1978
"3218","4","37","FEMALE","BLACK","12",1978
"3219","7","22","FEMALE","WHITE","12",1978
"3220","2","47","MALE","BLACK","3",1978
"3221","8","26","MALE","BLACK","16",1978
"3222","5","51","MALE","WHITE","12",1978
"3223","6","34","FEMALE","WHITE","12",1978
"3224","6","23","FEMALE","WHITE","12",1978
"3225","8","54","FEMALE","WHITE","12",1978
"3226","6","25","FEMALE","WHITE","12",1978
"3227","6","27","FEMALE","WHITE","16",1978
"3228","10","43","FEMALE","WHITE","18",1978
"3229","7","23","FEMALE","WHITE","14",1978
"3230","10","66","MALE","WHITE","18",1978
"3231","7","31","MALE","WHITE","17",1978
"3232","8","50","MALE","WHITE","12",1978
"3233","8","58","FEMALE","WHITE","12",1978
"3234","7","35","MALE","WHITE","12",1978
"3235","7","42","FEMALE","WHITE","13",1978
"3236","6","55","MALE","WHITE","14",1978
"3237","3","55","FEMALE","WHITE","9",1978
"3238","10","32","MALE","WHITE","17",1978
"3239","10","43","FEMALE","WHITE","17",1978
"3240","7","25","MALE","WHITE","12",1978
"3241",NA,"89 OR OLDER","FEMALE","BLACK","4",1978
"3242","6","65","MALE","BLACK","12",1978
"3243","6","25","FEMALE","WHITE","12",1978
"3244","4","24","MALE","BLACK","12",1978
"3245","4","72","FEMALE","WHITE","8",1978
"3246","6","56","MALE","WHITE","12",1978
"3247","5","37","FEMALE","WHITE","13",1978
"3248","8","24","FEMALE","WHITE","14",1978
"3249","8","61","MALE","WHITE","17",1978
"3250","7","67","MALE","WHITE","16",1978
"3251","3","50","FEMALE","BLACK","8",1978
"3252","5","47","MALE","WHITE","12",1978
"3253","10","71","FEMALE","WHITE","12",1978
"3254","1","79","FEMALE","WHITE","12",1978
"3255","6","46","FEMALE","WHITE","12",1978
"3256","8","83","FEMALE","WHITE","14",1978
"3257","6","26","FEMALE","WHITE","14",1978
"3258","6","30","MALE","WHITE","15",1978
"3259","7","71","FEMALE","WHITE","12",1978
"3260","5","19","MALE","WHITE","12",1978
"3261","8","28","FEMALE","WHITE","16",1978
"3262","10","21","MALE","WHITE","15",1978
"3263","10","56","MALE","WHITE","14",1978
"3264","4","22","FEMALE","WHITE","14",1978
"3265","6","27","MALE","WHITE","16",1978
"3266","7","71","FEMALE","WHITE","12",1978
"3267","8","32","FEMALE","WHITE","12",1978
"3268","10","69","FEMALE","WHITE","12",1978
"3269","10","51","MALE","WHITE","18",1978
"3270","5","38","FEMALE","WHITE","12",1978
"3271","2","20","FEMALE","WHITE","12",1978
"3272","8","69","MALE","WHITE","4",1978
"3273","4","21","MALE","WHITE","12",1978
"3274","8","40","MALE","WHITE","14",1978
"3275","7","24","FEMALE","WHITE","16",1978
"3276","4","36","MALE","WHITE","13",1978
"3277","9","61","FEMALE","WHITE","12",1978
"3278","6","20","MALE","WHITE","12",1978
"3279","4","30","FEMALE","BLACK","12",1978
"3280","3","58","FEMALE","WHITE","5",1978
"3281","9","31","FEMALE","WHITE","12",1978
"3282","4","48","MALE","WHITE","12",1978
"3283","9","43","MALE","WHITE","14",1978
"3284","1","37","FEMALE","WHITE","12",1978
"3285","3","71","FEMALE","WHITE","7",1978
"3286","5","67","MALE","WHITE","8",1978
"3287","7","63","FEMALE","WHITE","12",1978
"3288","8","62","FEMALE","WHITE","12",1978
"3289","4","72","MALE","BLACK","8",1978
"3290","5","40","MALE","BLACK","10",1978
"3291","7","23","MALE","BLACK","13",1978
"3292","9","51","FEMALE","WHITE","10",1978
"3293","3","34","MALE","BLACK","12",1978
"3294","3","53","MALE","BLACK","12",1978
"3295","3","69","MALE","BLACK","12",1978
"3296","2","42","FEMALE","BLACK","8",1978
"3297","3","33","FEMALE","WHITE","5",1978
"3298","2","58","FEMALE","WHITE","8",1978
"3299","3","28","MALE","WHITE","10",1978
"3300","10","31","FEMALE","WHITE","16",1978
"3301","6","24","FEMALE","WHITE","12",1978
"3302","5","62","MALE","WHITE","16",1978
"3303","7","54","MALE","WHITE","11",1978
"3304","6","40","MALE","WHITE","14",1978
"3305","3","30","MALE","WHITE","10",1978
"3306","6","21","MALE","WHITE","15",1978
"3307","5","67","MALE","WHITE","12",1978
"3308","6","30","FEMALE","WHITE","13",1978
"3309","6","27","FEMALE","WHITE","12",1978
"3310","4","31","MALE","WHITE","8",1978
"3311","6","26","FEMALE","WHITE","12",1978
"3312",NA,"47","FEMALE","WHITE","7",1978
"3313","5","27","FEMALE","BLACK","15",1978
"3314","5","27","MALE","WHITE","11",1978
"3315","5","20","FEMALE","WHITE","12",1978
"3316","3","28","MALE","WHITE","12",1978
"3317","4","79","FEMALE","WHITE","15",1978
"3318","5","26","MALE","WHITE","14",1978
"3319","5","37","MALE","WHITE","8",1978
"3320","5","21","MALE","WHITE","12",1978
"3321","4","43","MALE","WHITE","8",1978
"3322","6","31","MALE","WHITE","18",1978
"3323","7","34","FEMALE","WHITE","12",1978
"3324","5","27","FEMALE","WHITE","12",1978
"3325","6","41","FEMALE","WHITE","11",1978
"3326","1","59","FEMALE","BLACK","12",1978
"3327","2","39","MALE","BLACK","12",1978
"3328","5","34","MALE","WHITE","12",1978
"3329",NA,"54","FEMALE","WHITE","1",1978
"3330","3","48","FEMALE","WHITE","12",1978
"3331","6","24","FEMALE","WHITE","12",1978
"3332","7","79","FEMALE","WHITE","16",1978
"3333","6","48","FEMALE","WHITE","12",1978
"3334","6","26","FEMALE","WHITE","14",1978
"3335","6","35","MALE","BLACK","13",1978
"3336","5","37","FEMALE","BLACK","14",1978
"3337","7","25","MALE","BLACK","12",1978
"3338","6","25","MALE","BLACK","15",1978
"3339","3","77","MALE","BLACK","4",1978
"3340","6","19","FEMALE","BLACK","12",1978
"3341","5","19","FEMALE","BLACK","12",1978
"3342","7","67","FEMALE","WHITE","12",1978
"3343","6","61","FEMALE","WHITE","12",1978
"3344","7","40","FEMALE","WHITE","12",1978
"3345","7","61","FEMALE","WHITE","9",1978
"3346","4","30","MALE","WHITE","13",1978
"3347","5","71","FEMALE","WHITE","12",1978
"3348","5","31","FEMALE","WHITE","12",1978
"3349","10","34","MALE","WHITE","16",1978
"3350","3","54","FEMALE","WHITE","4",1978
"3351","7","34","MALE","WHITE","15",1978
"3352","6","48","FEMALE","WHITE","12",1978
"3353","1","47","MALE","WHITE","10",1978
"3354","4","52","MALE","WHITE","9",1978
"3355","4","52","FEMALE","WHITE","13",1978
"3356","8","49","MALE","WHITE","11",1978
"3357","7","41","FEMALE","WHITE","12",1978
"3358","5","65","FEMALE","BLACK","7",1978
"3359","7","36","FEMALE","BLACK","14",1978
"3360","1","79","MALE","BLACK","0",1978
"3361","6","39","FEMALE","BLACK","14",1978
"3362","5","72","FEMALE","WHITE","8",1978
"3363","7","36","MALE","WHITE","18",1978
"3364","5","24","FEMALE","WHITE","13",1978
"3365","5","38","FEMALE","WHITE","8",1978
"3366","8","36","MALE","WHITE","12",1978
"3367","3","66","MALE","WHITE","6",1978
"3368","6","32","FEMALE","WHITE","8",1978
"3369","3","40","MALE","WHITE","10",1978
"3370","5","38","FEMALE","WHITE","13",1978
"3371","3","41","MALE","BLACK","8",1978
"3372",NA,"58","FEMALE","BLACK","7",1978
"3373",NA,"49","MALE","BLACK","7",1978
"3374","6","24","FEMALE","BLACK","16",1978
"3375","5","42","FEMALE","BLACK","12",1978
"3376","3","19","MALE","BLACK","12",1978
"3377","3","38","FEMALE","WHITE","8",1978
"3378","3","65","FEMALE","WHITE","8",1978
"3379","6","26","FEMALE","WHITE","12",1978
"3380","4","35","FEMALE","WHITE","10",1978
"3381","5","74","FEMALE","WHITE","13",1978
"3382","10","32","MALE","WHITE","15",1978
"3383","5","25","MALE","WHITE","15",1978
"3384","9","56","FEMALE","WHITE","13",1978
"3385","4","28","FEMALE","WHITE","12",1978
"3386","7","30","MALE","BLACK","16",1978
"3387","6","23","FEMALE","BLACK","11",1978
"3388","4","32","FEMALE","BLACK","14",1978
"3389","6","64","FEMALE","WHITE","17",1978
"3390","3","40","FEMALE","WHITE","4",1978
"3391",NA,"80","FEMALE","WHITE","4",1978
"3392","10","26","MALE","WHITE","17",1978
"3393","5","42","MALE","WHITE","10",1978
"3394","8","48","FEMALE","WHITE","13",1978
"3395","7","25","MALE","WHITE","13",1978
"3396","6","71","MALE","WHITE","12",1978
"3397","7","25","FEMALE","WHITE","11",1978
"3398","7","64","FEMALE","WHITE","12",1978
"3399","6","26","MALE","WHITE","16",1978
"3400","10","28","FEMALE","WHITE","19",1978
"3401","8","43","FEMALE","WHITE","14",1978
"3402","8","23","FEMALE","WHITE","12",1978
"3403","6","62","FEMALE","WHITE","10",1978
"3404","6","24","MALE","WHITE","12",1978
"3405","8","25","MALE","WHITE","12",1978
"3406","9","26","FEMALE","WHITE","12",1978
"3407","7","24","FEMALE","WHITE","12",1978
"3408","6","23","MALE","WHITE","12",1978
"3409","1","70","MALE","WHITE","12",1978
"3410","7","42","MALE","WHITE","12",1978
"3411","7","26","FEMALE","WHITE","14",1978
"3412",NA,"23","FEMALE","WHITE","15",1978
"3413","7","37","FEMALE","OTHER","15",1978
"3414","5","22","FEMALE","WHITE","12",1978
"3415","5","26","FEMALE","WHITE","13",1978
"3416","6","24","MALE","WHITE","12",1978
"3417","2","28","FEMALE","WHITE","6",1978
"3418","6","22","FEMALE","WHITE","12",1978
"3419","1","21","FEMALE","WHITE","12",1978
"3420","9","30","FEMALE","WHITE","17",1978
"3421","10","62","MALE","WHITE","13",1978
"3422","7","20","MALE","WHITE","12",1978
"3423","6","20","FEMALE","WHITE","13",1978
"3424","8","69","MALE","WHITE","12",1978
"3425","7","29","FEMALE","WHITE","17",1978
"3426","6","26","FEMALE","WHITE","11",1978
"3427","4","20","MALE","BLACK","11",1978
"3428","5","35","FEMALE","BLACK","14",1978
"3429","5","56","FEMALE","WHITE","15",1978
"3430","9","34","MALE","WHITE","13",1978
"3431","6","25","FEMALE","WHITE","14",1978
"3432","9","54","FEMALE","WHITE","12",1978
"3433","9","56","MALE","WHITE","18",1978
"3434",NA,"74","MALE","OTHER","1",1978
"3435","4","24","FEMALE","WHITE","11",1978
"3436","10","43","MALE","WHITE","15",1978
"3437","8","31","FEMALE","WHITE","14",1978
"3438","10","30","FEMALE","WHITE","16",1978
"3439","9","30","FEMALE","WHITE","16",1978
"3440",NA,"89 OR OLDER","FEMALE","WHITE","11",1978
"3441","1","25","MALE","WHITE","14",1978
"3442","8","41","MALE","BLACK","12",1978
"3443","6","60","FEMALE","WHITE","8",1978
"3444","3","26","FEMALE","WHITE","12",1978
"3445","6","52","MALE","WHITE","10",1978
"3446","7","37","FEMALE","WHITE","12",1978
"3447","7","61","MALE","WHITE","12",1978
"3448","5","79","MALE","WHITE","8",1978
"3449","8","60","FEMALE","WHITE","16",1978
"3450","6","54","FEMALE","WHITE","16",1978
"3451","10","50","FEMALE","WHITE","13",1978
"3452","2","58","MALE","WHITE","6",1978
"3453","5","65","FEMALE","WHITE","8",1978
"3454","2","34","FEMALE","WHITE","6",1978
"3455","6","33","MALE","WHITE","12",1978
"3456","7","56","FEMALE","OTHER","9",1978
"3457","5","42","MALE","WHITE","12",1978
"3458","5","43","MALE","WHITE","12",1978
"3459","3","49","FEMALE","WHITE","8",1978
"3460","6","55","MALE","WHITE","12",1978
"3461","1","39","MALE","WHITE","7",1978
"3462","5","39","FEMALE","BLACK","12",1978
"3463","9","23","FEMALE","OTHER","16",1978
"3464","9","59","MALE","WHITE","14",1978
"3465","10","29","MALE","WHITE","16",1978
"3466","5","82","FEMALE","WHITE","12",1978
"3467","3","68","MALE","WHITE","9",1978
"3468","7","60","FEMALE","WHITE","8",1978
"3469",NA,"84","MALE","WHITE","4",1978
"3470","5","22","FEMALE","WHITE","12",1978
"3471","4","32","FEMALE","WHITE","11",1978
"3472","9","71","FEMALE","WHITE","9",1978
"3473","8","30","MALE","WHITE","18",1978
"3474","5","50","MALE","WHITE","12",1978
"3475","8","37","FEMALE","WHITE","12",1978
"3476","7","44","FEMALE","WHITE","16",1978
"3477","8","41","FEMALE","WHITE","12",1978
"3478","1","72","FEMALE","WHITE","6",1978
"3479","4","33","FEMALE","WHITE","8",1978
"3480","4","38","FEMALE","WHITE","7",1978
"3481","6","20","FEMALE","WHITE","12",1978
"3482","6","28","MALE","WHITE","12",1978
"3483","7","35","FEMALE","WHITE","12",1978
"3484","1","38","MALE","WHITE","10",1978
"3485","2","27","FEMALE","WHITE","12",1978
"3486","9","23","MALE","WHITE","12",1978
"3487","7","29","MALE","WHITE","12",1978
"3488","5","23","MALE","WHITE","12",1978
"3489","7","51","MALE","WHITE","13",1978
"3490","3","73","FEMALE","WHITE","8",1978
"3491","7","23","MALE","WHITE","13",1978
"3492","8","32","MALE","WHITE","16",1978
"3493","7","32","FEMALE","WHITE","13",1978
"3494","7","39","MALE","WHITE","14",1978
"3495","9","29","FEMALE","WHITE","16",1978
"3496","9","31","MALE","WHITE","19",1978
"3497","7","31","FEMALE","WHITE","12",1978
"3498","10","41","MALE","WHITE","16",1978
"3499","5","33","FEMALE","WHITE","13",1978
"3500","7","35","MALE","WHITE","20",1978
"3501","8","35","FEMALE","WHITE","15",1978
"3502","7","26","FEMALE","WHITE","12",1978
"3503",NA,"71","MALE","WHITE","8",1978
"3504","6","31","FEMALE","WHITE","12",1978
"3505","9","36","FEMALE","WHITE","13",1978
"3506","3","22","MALE","WHITE","12",1978
"3507","6","33","FEMALE","WHITE","12",1978
"3508","8","51","MALE","WHITE","12",1978
"3509","5","65","MALE","WHITE","8",1978
"3510","6","24","FEMALE","WHITE","14",1978
"3511","3","22","MALE","WHITE","12",1978
"3512","6","35","MALE","WHITE","12",1978
"3513","9","60","MALE","WHITE","20",1978
"3514","8","25","MALE","WHITE","17",1978
"3515","6","58","MALE","WHITE","12",1978
"3516","8","51","MALE","WHITE","14",1978
"3517","7","58","FEMALE","WHITE","12",1978
"3518","4","65","FEMALE","WHITE","8",1978
"3519","8","25","FEMALE","WHITE","15",1978
"3520","8","82","MALE","WHITE","20",1978
"3521","7","27","FEMALE","WHITE","14",1978
"3522","2","77","FEMALE","WHITE","3",1978
"3523","10","24","MALE","WHITE","15",1978
"3524","7","34","FEMALE","WHITE","12",1978
"3525","2","71","FEMALE","WHITE","9",1978
"3526","7","21","FEMALE","WHITE","14",1978
"3527","4","83","MALE","WHITE","8",1978
"3528","6","51","MALE","WHITE","8",1978
"3529","9","39","FEMALE","WHITE","13",1978
"3530","5","52","FEMALE","WHITE","12",1978
"3531","6","46","FEMALE","WHITE","12",1978
"3532","3","41","FEMALE","WHITE","8",1978
"3533","9","38","FEMALE","WHITE","16",1978
"3534","0","71","MALE","WHITE","4",1978
"3535","2","81","FEMALE","WHITE","8",1978
"3536","5","18","FEMALE","WHITE","11",1978
"3537","6","48","FEMALE","WHITE","11",1978
"3538","6","33","MALE","WHITE","12",1978
"3539","5","21","FEMALE","WHITE","12",1978
"3540","4","25","FEMALE","WHITE","10",1978
"3541","5","34","MALE","WHITE","15",1978
"3542","6","19","FEMALE","WHITE","12",1978
"3543","6","38","FEMALE","WHITE","12",1978
"3544","6","32","FEMALE","WHITE","12",1978
"3545","6","19","FEMALE","WHITE","12",1978
"3546","3","27","FEMALE","WHITE","7",1978
"3547","4","29","MALE","WHITE","12",1978
"3548","7","63","MALE","WHITE","8",1978
"3549","9","31","FEMALE","WHITE","12",1978
"3550","2","89 OR OLDER","MALE","WHITE","8",1978
"3551","6","31","FEMALE","WHITE","14",1978
"3552","3","53","FEMALE","WHITE","8",1978
"3553","6","29","MALE","WHITE","15",1978
"3554","4","63","MALE","WHITE","12",1978
"3555","3","86","FEMALE","WHITE","3",1978
"3556","7","57","FEMALE","WHITE","15",1978
"3557","7","67","FEMALE","WHITE","14",1978
"3558","8","44","MALE","WHITE","13",1978
"3559","10","44","FEMALE","WHITE","16",1978
"3560","10","55","MALE","WHITE","20",1978
"3561","5","47","FEMALE","WHITE","10",1978
"3562",NA,"59","MALE","BLACK","4",1978
"3563",NA,"69","MALE","WHITE","4",1978
"3564","6","53","MALE","WHITE","11",1978
"3565","6","22","FEMALE","WHITE","11",1978
"3566","7","53","MALE","WHITE","8",1978
"3567","4","67","MALE","WHITE","8",1978
"3568","5","25","FEMALE","WHITE","12",1978
"3569","2","70","FEMALE","WHITE","9",1978
"3570","3","43","MALE","WHITE","6",1978
"3571","5","24","FEMALE","WHITE","12",1978
"3572","6","28","FEMALE","WHITE","11",1978
"3573",NA,"27","FEMALE","WHITE","3",1978
"3574","4","70","FEMALE","WHITE","8",1978
"3575","2","28","MALE","WHITE","9",1978
"3576","3","72","MALE","WHITE","11",1978
"3577","6","33","FEMALE","WHITE","17",1978
"3578","6","48","MALE","WHITE","13",1978
"3579","5","33","FEMALE","WHITE","12",1978
"3580","4","62","FEMALE","WHITE","10",1978
"3581","7","77","FEMALE","WHITE","10",1978
"3582","9","34","FEMALE","WHITE","16",1978
"3583","4","63","FEMALE","WHITE","8",1978
"3584","4","41","FEMALE","WHITE","12",1978
"3585","5","77","FEMALE","WHITE","13",1978
"3586","1","58","MALE","BLACK","4",1978
"3587","5","72","FEMALE","WHITE","11",1978
"3588","0","73","FEMALE","WHITE","11",1978
"3589",NA,"31","MALE","BLACK","4",1978
"3590",NA,"65","FEMALE","WHITE","11",1978
"3591","0","29","FEMALE","WHITE","9",1978
"3592","4","27","MALE","WHITE","12",1978
"3593","3","20","MALE","WHITE","9",1978
"3594",NA,"79","MALE","WHITE","7",1978
"3595","10","25","FEMALE","WHITE","15",1978
"3596","6","69","FEMALE","WHITE","12",1978
"3597","8","30","MALE","WHITE","17",1978
"3598","6","49","MALE","WHITE","12",1978
"3599",NA,"51","FEMALE","WHITE","19",1978
"3600","1","57","MALE","WHITE","7",1978
"3601","9","79","FEMALE","WHITE","12",1978
"3602","9","51","FEMALE","WHITE","12",1978
"3603","5","68","FEMALE","WHITE","7",1978
"3604","8","77","FEMALE","WHITE","8",1978
"3605","7","62","FEMALE","WHITE","12",1978
"3606","6","43","MALE","WHITE","14",1978
"3607","7","54","MALE","BLACK","11",1978
"3608","9","75","FEMALE","WHITE","8",1978
"3609","7","81","FEMALE","WHITE","14",1978
"3610","10","74","MALE","WHITE","11",1978
"3611","7","72","FEMALE","WHITE","9",1978
"3612","8","73","FEMALE","WHITE","8",1978
"3613","10","42","FEMALE","WHITE","12",1978
"3614","6","73","FEMALE","WHITE","16",1978
"3615","6","55","MALE","WHITE","12",1978
"3616","4",NA,"FEMALE","WHITE","9",1978
"3617","9","64","FEMALE","WHITE","18",1978
"3618","4","49","MALE","WHITE","8",1978
"3619","4","70","MALE","WHITE","13",1978
"3620","9","23","FEMALE","WHITE","12",1978
"3621","6","25","FEMALE","WHITE","12",1978
"3622","10","76","FEMALE","WHITE","11",1978
"3623","8",NA,"FEMALE","WHITE","13",1978
"3624","9","67","FEMALE","WHITE","12",1978
"3625","6","27","FEMALE","WHITE","13",1978
"3626","6","33","FEMALE","WHITE","10",1978
"3627","3","48","FEMALE","WHITE","8",1978
"3628","10","42","MALE","WHITE","18",1978
"3629","3","34","FEMALE","WHITE","11",1978
"3630","7","43","MALE","OTHER","13",1978
"3631","10","24","MALE","WHITE","17",1978
"3632","5","21","MALE","WHITE","12",1978
"3633","7","28","MALE","WHITE","12",1978
"3634","10","46","MALE","WHITE","13",1978
"3635","2","71","MALE","WHITE","8",1978
"3636","5","56","FEMALE","WHITE","10",1978
"3637","4","51","MALE","WHITE","12",1978
"3638","5","26","MALE","WHITE","12",1978
"3639","7","56","FEMALE","WHITE","11",1978
"3640","7","56","FEMALE","WHITE","12",1978
"3641","5","39","MALE","WHITE","12",1978
"3642","2","54","FEMALE","WHITE","10",1978
"3643","3","55","FEMALE","WHITE","12",1978
"3644","2","24","MALE","WHITE","12",1978
"3645","3","47","FEMALE","WHITE","7",1978
"3646","6","39","FEMALE","WHITE","11",1978
"3647","5","25","FEMALE","WHITE","12",1978
"3648","5","33","MALE","WHITE","12",1978
"3649",NA,"73","FEMALE","WHITE","8",1978
"3650","3","60","MALE","WHITE","12",1978
"3651","4","37","FEMALE","WHITE","12",1978
"3652","7","24","FEMALE","WHITE","12",1978
"3653","2","75","MALE","WHITE","3",1978
"3654","5","23","MALE","WHITE","13",1978
"3655","5","45","MALE","WHITE","10",1978
"3656","6","68","MALE","WHITE","8",1978
"3657","6","40","FEMALE","WHITE","12",1978
"3658","3","30","MALE","WHITE","16",1978
"3659","1","66","FEMALE","WHITE","1",1978
"3660","7","54","FEMALE","WHITE","14",1978
"3661","7","19","FEMALE","WHITE","13",1978
"3662","6","77","MALE","WHITE","7",1978
"3663","5","25","MALE","WHITE","12",1978
"3664","3","75","FEMALE","WHITE","5",1978
"3665","5","34","MALE","WHITE","12",1978
"3666","5","51","MALE","WHITE","12",1978
"3667","8","80","FEMALE","WHITE","16",1978
"3668","4","70","MALE","WHITE","9",1978
"3669","5","79","FEMALE","WHITE","10",1978
"3670","5","81","MALE","WHITE","8",1978
"3671","5","64","FEMALE","WHITE","8",1978
"3672","5","35","MALE","WHITE","12",1978
"3673","5","79","FEMALE","BLACK","5",1978
"3674","5","27","FEMALE","BLACK","12",1978
"3675","5","27","MALE","BLACK","14",1978
"3676","5","32","MALE","WHITE","12",1978
"3677","6","78","FEMALE","WHITE","8",1978
"3678","6","50","MALE","WHITE","8",1978
"3679","8","27","MALE","WHITE","16",1978
"3680","4","75","FEMALE","WHITE","8",1978
"3681","8","69","FEMALE","WHITE","12",1978
"3682","5","80","FEMALE","WHITE","15",1978
"3683","6","31","FEMALE","WHITE","12",1978
"3684","5","65","MALE","WHITE","7",1978
"3685","5","32","FEMALE","WHITE","11",1978
"3686","3","41","FEMALE","WHITE","11",1978
"3687","5","29","FEMALE","WHITE","9",1978
"3688","6","79","FEMALE","WHITE","7",1978
"3689","5","33","MALE","WHITE","12",1978
"3690","4","63","MALE","WHITE","2",1978
"3691","6","47","FEMALE","WHITE","11",1978
"3692","6","57","MALE","WHITE","12",1978
"3693","5","35","MALE","WHITE",NA,1978
"3694","5","38","FEMALE","WHITE","10",1978
"3695","5","60","FEMALE","WHITE","8",1978
"3696","5","71","FEMALE","WHITE","8",1978
"3697","6","32","FEMALE","WHITE","12",1978
"3698","7","81","FEMALE","WHITE","12",1978
"3699","6","47","MALE","WHITE","12",1978
"3700","7","59","FEMALE","WHITE","12",1978
"3701","4","23","MALE","WHITE","12",1978
"3702","4","29","MALE","WHITE","12",1978
"3703","4","24","MALE","BLACK","10",1978
"3704","7","29","FEMALE","WHITE","17",1978
"3705","6","51","FEMALE","WHITE","12",1978
"3706","6","28","MALE","WHITE","13",1978
"3707",NA,"86","FEMALE","BLACK","0",1978
"3708","5","50","FEMALE","WHITE","12",1978
"3709","6","40","MALE","WHITE","15",1978
"3710","8","38","FEMALE","WHITE","11",1978
"3711","5","24","MALE","WHITE","8",1978
"3712","4","61","FEMALE","WHITE","3",1978
"3713","4","24","FEMALE","BLACK","11",1978
"3714","5","23","FEMALE","BLACK","10",1978
"3715","4","79","FEMALE","BLACK","7",1978
"3716","3","42","MALE","WHITE","9",1978
"3717","1","58","MALE","WHITE","9",1978
"3718","2","49","MALE","BLACK","5",1978
"3719","2","76","FEMALE","WHITE","8",1978
"3720","3","21","FEMALE","WHITE","10",1978
"3721","4","39","MALE","WHITE","9",1978
"3722","4","34","FEMALE","BLACK","12",1978
"3723","5","36","FEMALE","WHITE","12",1978
"3724","4","64","FEMALE","WHITE","11",1978
"3725","5","53","MALE","WHITE","12",1978
"3726","5","18","FEMALE","WHITE","10",1978
"3727","2","35","MALE","WHITE","10",1978
"3728","1","62","MALE","WHITE","6",1978
"3729","2","83","FEMALE","WHITE","8",1978
"3730","5","21","FEMALE","WHITE","12",1978
"3731","4","42","MALE","WHITE","12",1978
"3732","4","58","FEMALE","WHITE","9",1978
"3733","7","32","MALE","WHITE","12",1978
"3734","5","69","MALE","WHITE","6",1978
"3735","7","54","MALE","WHITE","9",1978
"3736","10","55","FEMALE","WHITE","12",1978
"3737","6","66","FEMALE","WHITE","12",1978
"3738","2","26","MALE","WHITE","12",1978
"3739","8","34","FEMALE","WHITE","18",1978
"3740","6","24","FEMALE","WHITE","17",1978
"3741","9","46","FEMALE","WHITE","15",1978
"3742","2","48","MALE","WHITE","14",1978
"3743","8","28","FEMALE","WHITE","16",1978
"3744","9","58","MALE","WHITE","13",1978
"3745","9","66","MALE","WHITE","16",1978
"3746","10","47","FEMALE","WHITE","16",1978
"3747","10","42","FEMALE","WHITE","12",1978
"3748","10","47","MALE","WHITE","14",1978
"3749","9","51","FEMALE","WHITE","16",1978
"3750","9","57","MALE","WHITE","18",1978
"3751","10","59","FEMALE","WHITE","12",1978
"3752","10","36","MALE","WHITE","18",1978
"3753","10","52","FEMALE","WHITE","16",1978
"3754","10","32","FEMALE","WHITE","17",1978
"3755","4","77","MALE","WHITE","12",1978
"3756","10","45","MALE","WHITE","16",1978
