"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"144","7","20","FEMALE","WHITE","12",1974
"145","4","22","FEMALE","WHITE","12",1974
"146","9","31","MALE","WHITE","16",1974
"147","9","54","MALE","WHITE","19",1974
"148","9","38","MALE","WHITE","18",1974
"149","8","66","FEMALE","WHITE","13",1974
"150","10","43","FEMALE","WHITE","15",1974
"151","6","22","MALE","WHITE","11",1974
"152","7","33","MALE","WHITE","13",1974
"153","10","50","MALE","WHITE","20",1974
"154","5","42","FEMALE","WHITE","12",1974
"155","8","39","FEMALE","WHITE","13",1974
"156","7","26","MALE","WHITE","16",1974
"157","9","60","MALE","WHITE","12",1974
"158","9","51","MALE","WHITE","14",1974
"159","10","28","FEMALE","WHITE","16",1974
"160","10","60","FEMALE","WHITE","10",1974
"161","6","31","MALE","WHITE","13",1974
"162","6","44","MALE","WHITE","8",1974
"163","7","32","FEMALE","WHITE","13",1974
"164","6","45","FEMALE","WHITE","12",1974
"165","8","31","FEMALE","WHITE","14",1974
"166","5","21","MALE","WHITE","12",1974
"167","6","67","MALE","WHITE","7",1974
"168","9","76","FEMALE","WHITE","9",1974
"169","9","53","FEMALE","WHITE","11",1974
"170","7","53","FEMALE","WHITE","12",1974
"171","5","32","MALE","WHITE","13",1974
"172","8","49","MALE","WHITE","12",1974
"173","7","48","FEMALE","WHITE","12",1974
"174","5","19","FEMALE","WHITE","11",1974
"175","7","43","FEMALE","WHITE","20",1974
"176","7","48","MALE","WHITE","20",1974
"177","8","42","MALE","WHITE","16",1974
"178","8","38","FEMALE","WHITE","15",1974
"179","5","42","FEMALE","WHITE","13",1974
"180","8","39","FEMALE","WHITE","12",1974
"181","4","24","MALE","WHITE","14",1974
"182","4","45","MALE","WHITE","14",1974
"183","7","55","FEMALE","WHITE","10",1974
"184","5","48","FEMALE","WHITE","10",1974
"185","6","22","FEMALE","WHITE","12",1974
"186","6","31","MALE","WHITE","12",1974
"187","5","72","MALE","WHITE","10",1974
"188","5","23","FEMALE","WHITE","12",1974
"189","6","54","FEMALE","WHITE","13",1974
"190","8","38","FEMALE","WHITE","15",1974
"191","5","56","MALE","BLACK","11",1974
"192","6","62","MALE","BLACK","8",1974
"193","4","41","FEMALE","BLACK","11",1974
"194","4",NA,"FEMALE","BLACK","10",1974
"195","3","30","FEMALE","BLACK","15",1974
"196","4","21","MALE","WHITE","9",1974
"197","6","37","MALE","WHITE","16",1974
"198",NA,"27","FEMALE","OTHER","8",1974
"199","9","24","FEMALE","WHITE","13",1974
"200","4","23","FEMALE","WHITE","12",1974
"201","6","69","MALE","WHITE","11",1974
"202","1","44","MALE","WHITE","12",1974
"203","2","65","FEMALE","WHITE","12",1974
"204","10","55","FEMALE","WHITE","15",1974
"205","7","59","FEMALE","WHITE","8",1974
"206","6","43","MALE","WHITE","20",1974
"207","6","52","MALE","WHITE","10",1974
"208","7","54","FEMALE","WHITE","12",1974
"209","10","43","FEMALE","WHITE","16",1974
"210","10","46","FEMALE","WHITE","14",1974
"211","5","72","MALE","WHITE","6",1974
"212","8","68","MALE","WHITE","11",1974
"213","10","69","FEMALE","WHITE","16",1974
"214","6","64","FEMALE","WHITE","8",1974
"215","6","48","FEMALE","WHITE","12",1974
"216","4","29","MALE","WHITE","12",1974
"217","3","70","MALE","WHITE","8",1974
"218","3","80","MALE","WHITE","8",1974
"219","5","61","FEMALE","WHITE","10",1974
"220","3","33","FEMALE","WHITE","10",1974
"221","9","26","MALE","WHITE","16",1974
"222","9","36","MALE","WHITE","18",1974
